city,countyOrParish,stateOrProvince,address,shortAddress
Schenectady,Schenectady,NY,"1706 Eastern Parkway, Schenectady, NY 12309",1706 Eastern Parkway
Minerva,Essex,NY,"1706 Route 28N, Minerva, NY 12851",1706 Route 28N
Halfmoon,Saratoga,NY,"9E Tupelo Drive, Halfmoon, NY 12065",9E Tupelo Drive
Troy,Rensselaer,NY,"1604 Park Boulevard, Troy, NY 12180",1604 Park Boulevard
Albany,Albany,NY,"155 Chestnut Street, Garden, Albany, NY 12210","155 Chestnut Street, Garden"
Lake Luzerne,Warren,NY,"423 Lake Avenue, Lake Luzerne, NY 12846",423 Lake Avenue
Fort Edward Village,Washington,NY,"128 Broadway, Fort Edward Village, NY 12828",128 Broadway
Clifton Park,Saratoga,NY,"4 Elizabeth Court, Clifton Park, NY 12065",4 Elizabeth Court
Thurman,Warren,NY,"L6.21 Stony Creek Rd, Thurman, NY 12810",L6.21 Stony Creek Rd
Hague,Warren,NY,"L4.0 Lakeshore Drive, Hague, NY 12836",L4.0 Lakeshore Drive
South Glens Falls,Saratoga,NY,"52 Wilson Avenue, South Glens Falls, NY 12803",52 Wilson Avenue
Chester,Warren,NY,"30 Kingsley Lane Ext, Chester, NY 12817",30 Kingsley Lane Ext
Bolton,Warren,NY,"91 Lake Winds Road, Bolton, NY 12824",91 Lake Winds Road
Halfmoon,Saratoga,NY,"69 Deer Run Hollow, Halfmoon, NY 12065",69 Deer Run Hollow
Malta,Saratoga,NY,"56 Arrow Wood Place, Malta, NY 12020",56 Arrow Wood Place
Guilderland,Albany,NY,"111 Stone Ridge Court, Right Side, Guilderland, NY 12009","111 Stone Ridge Court, Right Side"
Cooperstown,Otsego,NY,"7421 State Highway 80, Cooperstown, NY 13326",7421 State Highway 80
Nassau,Rensselaer,NY,"25 Albany Avenue, Nassau, NY 12123",25 Albany Avenue
Saratoga Springs,Saratoga,NY,"31 State Street, 2, Saratoga Springs, NY 12866","31 State Street, 2"
Schroon,Essex,NY,"65 Burgey Road, Schroon, NY 12870",65 Burgey Road
Fultonville,Montgomery,NY,"13 Kelly Avenue, Fultonville, NY 12072",13 Kelly Avenue
Glenville,Schenectady,NY,"239 Wolf Hollow Road, Glenville, NY 12302",239 Wolf Hollow Road
Albany,Albany,NY,"141 Eagle Street, 1, Albany, NY 12202","141 Eagle Street, 1"
Colonie,Albany,NY,"5 Conway Circle, Colonie, NY 12211",5 Conway Circle
Troy,Rensselaer,NY,"1317 15th Street, Troy, NY 12180",1317 15th Street
Hampton,Washington,NY,"11 Ridgecrest Way, Hampton, NY 12887",11 Ridgecrest Way
Colonie,Albany,NY,"53 Delafield Drive, Colonie, NY 12205",53 Delafield Drive
Bethlehem,Albany,NY,"750 Route 9W, Bethlehem, NY 12077",750 Route 9W
Colonie,Albany,NY,"21 Natick Street, Colonie, NY 12205",21 Natick Street
Voorheesville,Albany,NY,"13 Chesterfield Drive, Voorheesville, NY 12186",13 Chesterfield Drive
Schenectady,Schenectady,NY,"1043 Ardsley Road, Schenectady, NY 12308",1043 Ardsley Road
Gloversville,Fulton,NY,"9 Seventh Ave., Gloversville, NY 12078",9 Seventh Ave.
Albany,Albany,NY,"155 Ontario Street, Albany, NY 12206",155 Ontario Street
Ballston Spa,Saratoga,NY,"9 Wiggins Drive, Ballston Spa, NY 12020",9 Wiggins Drive
Albany,Albany,NY,"24 Glendale Avenue, Albany, NY 12208",24 Glendale Avenue
Schenectady,Schenectady,NY,"309 Harborside Drive, Schenectady, NY 12305",309 Harborside Drive
Middleburgh,Schoharie,NY,"L10 School House Rd, Middleburgh, NY 12122",L10 School House Rd
Colonie,Albany,NY,"50 Consaul Road, Colonie, NY 12205",50 Consaul Road
Moriah,Essex,NY,"9 Waldo Place, Moriah, NY 12974",9 Waldo Place
Maryland,Otsego,NY,"686 Center Road, Maryland, NY 12155",686 Center Road
Schenectady,Schenectady,NY,"1291 Garner Avenue, Schenectady, NY 12309",1291 Garner Avenue
Albany,Albany,NY,"7 Edison Avenue, 2nd Fl., Rear, Albany, NY 12208","7 Edison Avenue, 2nd Fl., Rear"
Bethlehem,Albany,NY,"489 Kenwood Avenue, Bethlehem, NY 12054",489 Kenwood Avenue
Malta,Saratoga,NY,"539 Route 67, Malta, NY 12118",539 Route 67
Schenectady,Schenectady,NY,"1619 Eastern Parkway, Schenectady, NY 12309",1619 Eastern Parkway
Milton,Saratoga,NY,"22 Catalina Drive, Milton, NY 12020",22 Catalina Drive
Colonie,Albany,NY,"111 Bridgewood Lane, Colonie, NY 12189",111 Bridgewood Lane
"Saratoga Springs, Inside",Saratoga,NY,"19 Washington Street, 460 N, Saratoga Springs, Inside, NY 12866","19 Washington Street, 460 N"
Albany,Albany,NY,"547 Morris Street, Albany, NY 12208",547 Morris Street
Niskayuna,Schenectady,NY,"711 Hampshire Seat, Niskayuna, NY 12309",711 Hampshire Seat
Mayfield,Fulton,NY,"256 Lathrop Road, Mayfield, NY 12117",256 Lathrop Road
Lake Luzerne,Warren,NY,"8 Schaffer Brook Lane, Lake Luzerne, NY 12846",8 Schaffer Brook Lane
Colonie,Albany,NY,"447 New Karner Road, Colonie, NY 12205",447 New Karner Road
Ravena,Albany,NY,"19 Laura Lane, Ravena, NY 12143",19 Laura Lane
Bethlehem,Albany,NY,"L11.50 Spore Road, Bethlehem, NY 12054",L11.50 Spore Road
